File ID,File Name,Data Category,Data Type,Project ID,Case ID,Sample ID,Sample Type
4fa865be-49fe-48f8-9e87-e09168572af4,2830f392-1aeb-4556-9171-8eada8761cc8.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-34-7107,TCGA-34-7107-11A,Solid Tissue Normal
c7806e11-290c-49e1-90ef-75941b441fce,c1d52374-fc57-4ffe-85df-8352ed9c736e.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-34-7107,TCGA-34-7107-01A,Primary Tumor
19fb2e8f-1227-4388-b553-1fc39c26ed48,e8788eed-247a-4338-80f5-e648825de780.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-63-7021,TCGA-63-7021-01A,Primary Tumor
fe79c09e-f0ac-4166-b789-33fa1d2fb9d0,915f6c40-fe7f-42ee-ac0d-a82a87c1d9cd.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-21-1082,TCGA-21-1082-01A,Primary Tumor
6cfe7a85-006a-4eec-88bf-c80bfdfc45f5,fad27069-6285-4999-9de7-5a579c2c78e4.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-18-3415,TCGA-18-3415-01A,Primary Tumor
253c806e-019c-4113-8b96-6cad516e225f,6ef57392-36ec-43e3-bef6-42e43f2f72cd.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-77-A5G7,TCGA-77-A5G7-01B,Primary Tumor
586ef291-7051-40be-80a1-8049e5433202,ae3a62aa-c484-4ab2-999d-911179fbfd4d.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-68-7757,TCGA-68-7757-01B,Primary Tumor
3f8a842f-7050-4119-9d01-84dc0434cc0d,a32c1e22-0523-41c9-86e5-ee3416aa53c9.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-43-8116,TCGA-43-8116-01A,Primary Tumor
fa752ca7-ed6f-44cc-b19d-3de8613aaf89,b3f3ba70-bfce-4e13-bb38-8bc070ccb07f.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-33-AASD,TCGA-33-AASD-01A,Primary Tumor
12898e2b-86d5-4c0e-8a53-dec1fd528f42,cb8d1dc4-bfc1-46ba-8e31-af63a0fd5eab.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-90-A4ED,TCGA-90-A4ED-01A,Primary Tumor
37c3f067-219c-48ba-bff8-8917fd91446e,3b3f2b34-6be9-4bd1-88d9-82c081b0d7e3.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-63-A5MY,TCGA-63-A5MY-01A,Primary Tumor
17d01bba-1ae8-4205-ae80-2db88489fa84,1391394a-a310-49a6-8c2c-401fb358ea59.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-22-4609,TCGA-22-4609-11A,Solid Tissue Normal
7d1231c0-6ff0-4ef0-98a3-3b77ed9298bc,eb23a0d5-3a04-4cc8-aca2-448e72a8360a.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-22-4609,TCGA-22-4609-01A,Primary Tumor
a5101858-cab5-42b7-af4f-6f75dd62c36c,2e90137c-306a-4aee-b772-18827857d2e1.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-85-8350,TCGA-85-8350-01A,Primary Tumor
2773ff80-83f6-4e19-a384-e2f0e7ae92b3,b79f8294-ec5f-4d9c-9246-c695564f41ce.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-85-7950,TCGA-85-7950-01A,Primary Tumor
89757795-017d-40e2-ba48-e7a19fb69b94,6b717b71-a34d-45af-a27e-ce77484d14f2.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-43-5668,TCGA-43-5668-01A,Primary Tumor
